2019/03/30 23:14:35.658|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:14:36.240| WARN[main] Could not find matching type descriptor for requested Java class [org.tonylin.practice.spring.data.rest.jpa.entity.JobAttributes]; using fallback 
2019/03/30 23:14:36.243| WARN[main] Could not find matching type descriptor for requested Java class [java.util.List]; using fallback 
2019/03/30 23:14:36.703|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:14:36.712|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:15:14.965|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:15:15.532| WARN[main] Could not find matching type descriptor for requested Java class [org.tonylin.practice.spring.data.rest.jpa.entity.JobAttributes]; using fallback 
2019/03/30 23:15:15.535| WARN[main] Could not find matching type descriptor for requested Java class [java.util.List]; using fallback 
2019/03/30 23:15:15.986|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:15:15.996|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:17:15.079|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:17:15.649| WARN[main] Could not find matching type descriptor for requested Java class [org.tonylin.practice.spring.data.rest.jpa.entity.JobAttributes]; using fallback 
2019/03/30 23:17:15.652| WARN[main] Could not find matching type descriptor for requested Java class [java.util.List]; using fallback 
2019/03/30 23:17:16.099|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:17:16.111|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:18:29.436|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:18:29.999| WARN[main] Could not find matching type descriptor for requested Java class [org.tonylin.practice.spring.data.rest.jpa.entity.JobAttributes]; using fallback 
2019/03/30 23:18:30.002| WARN[main] Could not find matching type descriptor for requested Java class [java.util.List]; using fallback 
2019/03/30 23:18:30.459|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
2019/03/30 23:18:30.471|DEBUG[main] db url: jdbc:postgresql://localhost:5432/test 
